id,state,location
1760,nc,South Asheville
1762,nc,South Hickory
1764,nc,South Square
1769,nc,Statesville
1770,nc,Stone Creek Village
1771,nc,Stonecrest at Piper Glen
1776,nc,Towne Creek Commons
1788,nc,University Place
1790,nc,Viewmont
1791,nc,Village District
1792,nc,Wake Forest
1795,nc,Waverly
1796,nc,Waverly Place
1797,nc,Waynesville
1798,nc,Wendover
1800,nc,West Asheville
1801,nc,West Fayetteville
1802,nc,Western Boulevard
1804,nc,White Oak Crossing
1805,nc,Whitehall Commons Shopping Center
1806,nc,Wilkesboro
1807,nc,Wilson
1810,nc,Winterville
1811,nd,Grand Forks
1814,nd,West Acres
1815,oh,Airport Highway
1816,oh,Anderson
1819,oh,Beavercreek
1824,oh,Bridgewater Falls
1827,oh,Central & McCord
1828,oh,Chapel Hill
1831,oh,Colerain Commons
1832,oh,Cornerstone
1838,oh,Easton Town Center
1839,oh,Fairfield (OH)
1840,oh,Findlay (OH)
1842,oh,Grandview Yard
1844,oh,Grove City
1847,oh,Howland
1852,oh,Liberty Way
1857,oh,Market of Hilliard
1859,oh,Mayfield Heights (OH)
1862,oh,Milford Miami Township
1863,oh,Montrose
1864,oh,North Olmsted
1865,oh,Oakley Station
1871,oh,Rocky River
1872,oh,Sandusky (OH)
1873,oh,Sawmill Road
1874,oh,Secor Road
1875,oh,Solon (OH)
1879,oh,St. Clairsville
1880,oh,Strongsville
1881,oh,Talmadge & Sylvania
1884,oh,Troy In-Line DT
1890,oh,Voice of America
1891,oh,Washington Township
1892,oh,Western Hills
1893,oh,Willoughby Commons
1895,ok,12th Avenue
1896,ok,15th & Sooner
1897,ok,240 & Western
1898,ok,29th & Town Center
1899,ok,2nd & Bryant
1900,ok,33rd & Broadway
1901,ok,Ada
1903,ok,Ardmore
1904,ok,Bartlesville
1906,ok,Broken Arrow
1907,ok,Cache Road
1908,ok,Claremore
1909,ok,Classen Point
1910,ok,Eastside Market
1911,ok,Enid
1912,ok,Glenpool
1913,ok,I-35 at 15th
1914,ok,I-40 & MacArthur
1915,ok,May and 63rd
1918,ok,Muskogee
1919,ok,Norman
1925,ok,Owasso Market
1931,ok,Sand Springs
1932,ok,Shawnee
1935,ok,Southroads Shopping Center
1937,ok,Stillwater
1938,ok,Tulsa Hills
1945,ok,Yukon
1946,or,Cedar Hills Blvd
1947,or,Clackamas Promenade
1948,or,Crater Lake & Pacific Hwy
1949,or,Gresham Village
1950,or,Hwy 97 & Robal Road
1953,or,Raleigh Hills
1958,pa,5th Street Hwy
1960,pa,Altoona
1961,pa,Aramingo
1963,pa,Bartonsville
1965,pa,Bensalem
1968,pa,Brookhaven
1970,pa,Carlisle
1971,pa,Chambersburg
1981,pa,East Norriton
1985,pa,Exeter
1991,pa,Greengate Centre
1993,pa,Hanover
1997,pa,Horsham
2006,pa,Lima
2007,pa,Lincoln Highway East
2008,pa,Lindle Road
2011,pa,Loucks Road
2013,pa,Lower Nazareth
2014,pa,Malvern
2015,pa,McKnight Road
2016,pa,Mechanicsburg
2019,pa,Montgomeryville
2021,pa,Newtown
2032,pa,Robinson
2035,pa,Shrewsbury
2037,pa,South Hills
2042,pa,The Waterfront
2043,pa,Trexlertown
2046,pa,Warminster
2047,pa,Warrington Crossing
2048,pa,Washington (PA)
2053,pa,Wexford
2054,pa,Whitehall
2055,pa,Whitman Square
2056,pa,Wilkes Barre Township
2058,ri,Bald Hill Road
2060,sc,Aiken
2061,sc,Anderson Pavilion
2070,sc,Bush River Road
2071,sc,Camden
2073,sc,Carolina Forest
2075,sc,Centre Pointe
2079,sc,Cherrydale Point
2080,sc,Church Street
2089,sc,Dave Lyle Boulevard
2090,sc,Dorchester Road
2091,sc,Duncan
2092,sc,Easley
2097,sc,Garners Ferry Road
2098,sc,Goose Creek
2101,sc,Greenwood (SC)
2103,sc,Greer
2107,sc,Hillcrest Shopping Center
2108,sc,Indian Land
2109,sc,Irby Street
2111,sc,Killian Crossing
2112,sc,Lancaster
2114,sc,Laurens County
2117,sc,Long Point Road
2120,sc,Mauldin
2122,sc,Midtowne Park
2124,sc,Mt. Pleasant
2129,sc,North Augusta
2132,sc,North Myrtle Beach
2137,sc,Rivers Avenue
2138,sc,Saluda Pointe
2139,sc,Savannah Highway
2140,sc,Seaboard Commons
2141,sc,Seneca
2142,sc,Simpsonville
2144,sc,Spartanburg
2145,sc,Summerville (SC)
2146,sc,Sumter
2148,sc,Surfside
2149,sc,Taylors
2151,sc,Travelers Rest
2158,sc,Westgate Drive-Thru Only
2162,sc,Woodruff Road
2170,tn,Berry Farms
2172,tn,Brainerd Village
2173,tn,Brentwood
2175,tn,Chapman Highway
2179,tn,Columbia (TN)
2180,tn,Cookeville
2183,tn,Crown Point Plaza
2184,tn,Dyersburg
2185,tn,East Ridge
2187,tn,Elizabethton
2188,tn,Emory Road
2190,tn,Fountain City
2193,tn,Germantown Pkwy.
2195,tn,Greeneville [TN]
2196,tn,Gunbarrel Pointe
2198,tn,Hermitage
2201,tn,Hunter's Crossing
2202,tn,Hwy 96
2205,tn,Johnson City Crossing
2206,tn,Keith Street
2208,tn,Lebanon
2210,tn,Lenoir City
2213,tn,Madison Street
2216,tn,Memorial Blvd (TN)
2218,tn,MetroCenter (TN) In-Line DT
2220,tn,Millington
2222,tn,Murfreesboro Towne Centre
2226,tn,Northshore Town Center
2229,tn,One Bellevue
2230,tn,Ooltewah
2233,tn,Poplar Avenue
2234,tn,Providence Marketplace
2235,tn,Rivergate
2236,tn,Sevierville
2238,tn,South Franklin
2239,tn,Spring Hill In-Line DT
2246,tn,The Pinnacle
2247,tn,The Shoppes at Bartlett
2248,tn,Thoroughbred Square
2249,tn,Tullahoma
2250,tn,Turkey Creek
2252,tn,Union Avenue
2259,tn,Vann Drive
2261,tn,West Hills
2262,tn,West Market Street
2265,tn,Wilma Rudolph
2268,tn,Wolfcreek
2269,tx,105 & Lonestar Pkwy
2270,tx,10th Street
2271,tx,114th & Quaker Avenue
2274,tx,1960 / I-45
2277,tx,249 at Jones Road
2278,tx,27th & Nolana
2279,tx,281 & Trenton
2280,tx,288 & Southfork Drive
2281,tx,290 and Spring Cypress
2282,tx,2920 / Kuykendahl
2283,tx,336 Marketplace
2284,tx,45 & Crosstimbers
2285,tx,45 & Wayside
2286,tx,45 & West Road
2288,tx,4th & Frankford
2290,tx,59 & Kirby
2293,tx,69th & Slide
2296,tx,82nd & Milwaukee
2297,tx,82nd & University
2298,tx,Abilene
2302,tx,Aggieland
2303,tx,Airway & Edgemere
2304,tx,Alamo Ranch Marketplace
2306,tx,Alliance Town Center
2307,tx,Alon Town Center
2308,tx,Altamesa and McCart
2309,tx,Alvin (TX)
2310,tx,Amarillo at Gem Lake Road
2312,tx,Anna Town Center
2315,tx,Balcones Heights
2316,tx,Bandera Road
2318,tx,Bastrop
2321,tx,Baylor University on 7th Street
2323,tx,Baytown
2324,tx,Bella Terra
2326,tx,Belterra Village
2327,tx,Beltway 8 & Hammerly Blvd.
2329,tx,Beltway 8 & Wallisville Road
2330,tx,Beltway 8 at West Road
2331,tx,Benbrook
2332,tx,Blanco Road
2333,tx,Boca Chica
2334,tx,Braker Lane
2335,tx,Broad and 360
2336,tx,Broadway Crossing
2338,tx,Brownwood [TX]
2339,tx,Bryan
2340,tx,Buda
2341,tx,Burleson
2342,tx,Calallen
