id,state,location
1591,ny,Clay (NY)
1593,ny,Commack
1595,ny,Five Towns
1596,ny,Flatbush and Atlantic In-Line
1597,ny,Fulton Street In-Line
1599,ny,Hamburg (NY)
1600,ny,Henrietta
1602,ny,Huntington (NY)
1603,ny,Irondequoit (NY)
1604,ny,Jackson Heights 82nd Street In-Line
1607,ny,NY State Thruway - Ardsley Travel Plaza
1608,ny,NY State Thruway - Chittenango Travel Plaza
1609,ny,NY State Thruway - Clifton Springs Travel Plaza
1610,ny,NY State Thruway - Iroquois Travel Plaza
1611,ny,NY State Thruway - Plattekill Travel Plaza
1616,ny,Smithtown
1617,ny,Staten Island Mall
1619,ny,Watertown (NY)
1621,nc,95 & 264 [NC]
1623,nc,Airport Road
1630,nc,Asheboro Mall
1631,nc,Bank of America Plaza
1632,nc,Battleground Plaza
1633,nc,Belmont
1634,nc,Bermuda Run
1636,nc,Boone
1637,nc,Brier Creek Parkway at Lumley Road
1639,nc,Campbell University
1641,nc,Capital Crossing
1642,nc,Carolina Mall
1643,nc,Carolina Pavilion
1645,nc,Carolinas Medical Center
1647,nc,Charlotte-Douglas International Airport
1649,nc,Cleveland Mall
1656,nc,Cox Rd
1658,nc,Cross Creek Mall (NC)
1662,nc,Duke University Medical Center
1663,nc,East Carolina University - Croatan
1668,nc,Elon University Commons
1671,nc,Forest City [NC]
1674,nc,Friendly
1676,nc,Gardner-Webb University
1677,nc,Garner Towne Square
1679,nc,Gateway Village
1680,nc,Goldsboro
1681,nc,Grandover Village
1687,nc,Harrison Square
1694,nc,Hillsborough Road
1701,nc,Jacksonville Mall Drive-Thru Only
1702,nc,Kernersville
1703,nc,King [NC]
1706,nc,Lake Boone Trail
1710,nc,Lenoir Rhyne University
1711,nc,Lexington Parkway Plaza
1715,nc,Matthews
1720,nc,Midtown Corner
1727,nc,Morganton
1729,nc,Mountain Island
1732,nc,North Carolina Central University
1733,nc,North Carolina State University
1734,nc,North Hills In-Line (NC)
1737,nc,Oleander
1746,nc,Rand Village
1748,nc,Research Triangle
1751,nc,Rocky River Road
1754,nc,Shallotte [NC]
1755,nc,Shelby
1763,nc,South Point Township
1765,nc,Southern Pines
1767,nc,Spectrum Center
1768,nc,Stanleyville
1772,nc,Talbert Road
1774,nc,The Village at North Elm
1775,nc,Thruway Shopping Center
1777,nc,Townridge Square
1779,nc,Tunnel Road
1780,nc,Union Cross
1781,nc,University Commons
1782,nc,University of NC - Pembroke
1783,nc,University of NC-Chapel Hill (Lenoir Hall)
1784,nc,University of NC-Charlotte
1785,nc,University of NC-Greensboro (Elliott Center)
1786,nc,University of NC-Wilmington
1787,nc,University of North Carolina Hospital-Beach
1794,nc,Wake Forest University
1803,nc,Western Carolina University
1812,nd,Kirkwood Mall (ND)
1817,oh,Austintown (OH)
1822,oh,Blue Ash
1825,oh,Brunswick (OH)
1830,oh,Cleveland-Hopkins International Airport
1833,oh,Crocker Park (OH)
1843,oh,Great American Ball Park
1846,oh,Harvard Park
1848,oh,Huber Heights (OH)
