id,state,location,Mobile Orders,Catering,Pickup,Delivery,WiFi,Playground,Breakfast Served,Drive-thru,cost of chicken sandwich
165,ar,Springdale at Sunset Ave,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
166,ar,Turtle Creek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99
167,ar,University of Arkansas - Monticello,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
168,ar,University of Arkansas - Pine Bluff,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
169,ar,University of Arkansas-Fayetteville,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
170,ar,University of Arkansas-Fort Smith,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
171,ar,University of Central Arkansas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
172,ar,Wal-Mart Headquarters,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
173,ar,West Conway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
174,ar,West Memphis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99
175,ar,West Walnut,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5.09
176,ar,Whitaker Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
177,ca,101 & Telephone,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
178,ca,101 & Winnetka,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79
179,ca,17th at Tustin,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.69
180,ca,405 & Atlantic LB,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5.79
181,ca,405 & Avalon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
182,ca,405 at Jefferson (Los Angeles),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79
183,ca,605 & Firestone,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.79
184,ca,7th & Fig In-Line,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5.99
185,ca,91 & Orangethorpe,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
186,ca,Aliso Viejo In-Line DT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.69
187,ca,Arden Fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
188,ca,Auburn Gold Rush,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.45
189,ca,Auto Mall Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
190,ca,Avenue K & 15th St. SW,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.79
191,ca,Azusa,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
192,ca,Bakersfield,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
193,ca,Beach Boulevard,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
194,ca,Bear Valley Rd. & Mariposa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
195,ca,Blackstone,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5.75
196,ca,Blossom Hill & Almaden Expy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79
197,ca,Bristol & MacArthur,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
198,ca,California Baptist University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
199,ca,California Polytechnic State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
200,ca,Campbell & Saratoga,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
201,ca,Carmel Mountain,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79
202,ca,Carson & Vermont,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79
203,ca,Central Ave. & Riverside Plaza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.69
204,ca,Cerritos,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5.75
205,ca,Chino Hills,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
206,ca,Cienega Triangle,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5.75
207,ca,Citrus Plaza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.69
208,ca,City of Industry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
209,ca,Clairemont,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.79
210,ca,Colonies Crossroads,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
211,ca,Crenshaw & Amsler,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,5.75
212,ca,Crenshaw & Redondo Beach Blvd,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79
213,ca,Crossings at South Corona,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.69
214,ca,Day Street,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5.75
215,ca,Del Amo In-Line,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5.75
216,ca,Del Rey & Lincoln Drive-Thru Only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5.79
217,ca,Del Sur,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5.59
218,ca,Delta Shores,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
219,ca,Devonshire & Reseda,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
220,ca,Dexter Avenue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.69
221,ca,Downey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79
222,ca,E. Colorado Blvd,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.89
223,ca,Eastlake Terraces,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
224,ca,El Camino Real at Scott,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.89
225,ca,El Toro Road,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.69
226,ca,Elk Grove Marketplace,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5.75
227,ca,Emeryville In-Line,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5.75
228,ca,Encinitas In-Line DT,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
229,ca,Enos Ranch,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5.69
230,ca,Escondido,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.69
231,ca,Fairfield In-Line DT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
232,ca,Fashion Fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75
233,ca,Fashion Island Shopping Center,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.89
234,ca,First Street,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.69
